title,location,type,bed,bath,area,price
"Choose This 1000 Sq Ft Flat For Rent In New Market, Elephant Road","New Market, Dhaka",Apartment,3,2,"1,000 sqft",30 Thousand
"Now You Can Afford To Dwell Well, Check This 950 Sq Ft Apartment In 18 No. East Bakalia Ward","Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft,12 Thousand
In 9 No. North Pahartali Ward This Apartment Is Up For Rent Which Is 750 Sq Ft,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,2,2,750 sqft,10 Thousand
A well-defined residential apartment of 1450 SQ FT is available for rent in Shegunbagicha,"Shegunbagicha, Dhaka",Apartment,3,3,"1,450 sqft",35 Thousand
Reside Conveniently In This Well-constructed 1200 Sq Ft Flat For Rent In Bayazid,"Shahid Nagar, Bayazid, Chattogram",Apartment,3,2,"1,200 sqft",12.5 Thousand
800 Sq Ft Flat Is Up For Rent With All Facilities At A Reasonable Price In 24 No. North Agrabad Ward,"Askarabad, Dewanhat, 24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,2,2,800 sqft,16 Thousand
"Experience This 1200 Sq Ft Flat With Good Deal Of Home Accommodations In Double Mooring, 24 No. North Agrabad Ward","24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,2,"1,200 sqft",13 Thousand
"Choose your destination, 1400 SQ FT apartment which is available to Rent in Shegunbagicha","Shegunbagicha, Dhaka",Apartment,3,3,"1,400 sqft",35 Thousand
See This Nice 2000 Sq. Ft. Flat For Rent At Chawk Bazar Nearby Chawkbazar Police Station,"Beverly Hill Housing Estate, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"2,000 sqft",30 Thousand
650 Sq Ft Flat For Rent In Dhanmondi Near Chata Masjid,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",Apartment,2,1,650 sqft,17 Thousand
2200 Sq Ft Flat Is Now Available For Rent Nearby Ahle Hadis Jame Masjid In South Khulsi,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,4,"2,200 sqft",1 Lakh
800 Sq Ft Apartment Is For Rent In The Prominent Location Of Hazaribag,"Bhagalpur, Hazaribag, Dhaka",Apartment,2,2,800 sqft,16 Thousand
"800 Sq Ft Apartment With 2 Bedrooms Is For Rent In Hazaribag, Bhagalpur","Bhagalpur, Hazaribag, Dhaka",Apartment,2,2,800 sqft,16 Thousand
Enjoy Living In This 800 Sq Ft Apartment For Rent In Hazaribag,"Bhagalpur, Hazaribag, Dhaka",Apartment,2,2,800 sqft,16 Thousand
For rental purpose 1350 Square feet well-constructed flat is available in Bashundhara R-A,"Block K, Bashundhara R-A, Dhaka",Apartment,2,3,"1,350 sqft",25 Thousand
Relax In This 700 Square Feet Apartment For Rent In Shyamoli,"Shyamoli, Dhaka",Apartment,2,2,700 sqft,15 Thousand
A Large Apartment Including 3 Bedroom Is Ready To Rent In Baridhara,"Block K, Baridhara, Dhaka",Apartment,3,4,"3,000 sqft",1.9 Lakh
"Rent This 800 Square Feet Apartment At Adabor, Mansurabad Housing Society","Block D, Mansurabad Housing Society, Adabor, Dhaka",Apartment,2,2,800 sqft,15 Thousand
A Beautifully Constructed Apartment Of 750 Sq Ft Is Vacant Right Now For Rent In Kallyanpur,"Kallyanpur, Mirpur, Dhaka",Apartment,2,2,750 sqft,15 Thousand
720 Square Feet Apartment Is Up For Rent At Mohammadpur,"Mohammadpur, Dhaka",Apartment,2,2,720 sqft,15 Thousand
A Ready Flat Is Available For Rent At Banasree Nearby Banasree Central Jame Mosque,"Block A, Banasree, Dhaka",Apartment,3,3,"1,331 sqft",22 Thousand
Find 1200 Sq Ft Flat Available For Rent In South Kattali Near To South Kattali Bazar,"11 No. South Kattali Ward, Chattogram",Apartment,3,3,"1,200 sqft",17 Thousand
1200 Sq Ft Apartment Is Ready For Rent At East Nasirabad,"East Nasirabad, Chattogram",Apartment,3,2,"1,200 sqft",21 Thousand
"To Reside In A Beautiful Apartment, Visit This 3300 Sq Ft Rental Property In Bashundhara Near NSU","Block C, Bashundhara R-A, Dhaka",Apartment,4,4,"3,300 sqft",1 Lakh
1400 Square Feet Apartment For Rent In Adabor,"Block C, Mansurabad Housing Society, Adabor, Dhaka",Apartment,3,3,"1,400 sqft",25 Thousand
A 1300 Sq Ft Flat Close To Ktc At Lake Valley R/a Is Up For Its New Tenant.,"Lake Valley R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,3,2,"1,300 sqft",20 Thousand
"Get This 950 Sq Ft Apartment For Rent In Kolpolok R/a, Bakalia","Road No 1, Block A, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft,13 Thousand
For Rental purpose beautiful 3500 SQ FT flat is now up to Rent in Gulshan 2,"Gulshan 2, Gulshan, Dhaka",Apartment,4,4,"3,500 sqft",1.8 Lakh
"Deal With This 900 Sq Ft Apartment For Rent In Azimpur, Lalbagh","Azimpur, Lalbagh, Dhaka",Apartment,3,3,900 sqft,25 Thousand
1220 Sq Ft Flat For Rent In Mirpur-1,"Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,3,3,"1,220 sqft",18 Thousand
Select Your Next Residing Place At This Nice Flat Of 1200 Sq Ft In Shegunbagicha,"Shegunbagicha, Dhaka",Apartment,3,2,"1,200 sqft",32 Thousand
Do Not Overlook This 800 Sq Ft Apartment For Rent In Hazaribag,"Bhagalpur, Hazaribag, Dhaka",Apartment,2,2,800 sqft,16 Thousand
"Seize This 800 Sq Ft Apartment For Rent In Hazaribag, Bhagalpur Lane","Bhagalpur, Hazaribag, Dhaka",Apartment,2,2,800 sqft,16 Thousand
New With A View – 750 Sq Ft Flat For Rent In Nikunja,"Nikunja 2, Nikunja, Dhaka",Apartment,2,2,750 sqft,17 Thousand
Modern Home For Residents | 700 Sq Ft Flat In Badda For Rent,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",Apartment,2,2,700 sqft,17 Thousand
"Vacant For Rent In Nikunja, A 750 Sq. Ft. Well Defined Flat","Nikunja 2, Nikunja, Dhaka",Apartment,2,2,750 sqft,22 Thousand
A Nice 1300 Sq Ft Flat With Reasonable Price Is Up For Rent In Rahmatganj.,"Rahmatganj, Jamal Khan, Chattogram",Apartment,3,3,"1,300 sqft",28 Thousand
2300 Square Feet Splendid Apartment Is Available For Rent In Bashundhara R-a,"Block C, Bashundhara R-A, Dhaka",Apartment,3,3,"2,300 sqft",45 Thousand
Well-developed 1850 Sq Ft Residence Up For Rent In Bashundhara R-a,"Block L, Bashundhara R-A, Dhaka",Apartment,3,4,"1,850 sqft",23 Thousand
Worthy 1150 SQ FT Nice Residential Apartment is ready to Rent at Bayazid,"Polytechnic, Bayazid, Chattogram",Apartment,3,3,"1,150 sqft",14 Thousand
720 Sq Ft Apartment With 2 Bedrooms Is Available For Rent In South Badda,"Badda, Dhaka",Apartment,2,2,720 sqft,17 Thousand
"1150 Sq Ft Flat With Great Features Rent Section 2, Borobag, Mirpur","Borobag, Section 2, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",20 Thousand
1750 Square Feet Nice Apartment Is For Rent In Shyamoli,"Shyamoli, Dhaka",Apartment,3,4,"1,750 sqft",30 Thousand
"Looking for a nice home to rent in Bayazid, check this one which is 950 SQ FT","Bayazid, Chattogram",Apartment,2,2,950 sqft,15 Thousand
An Apartment Is Ready To Rent In The Location Of Muradpur.,"Nasirabad Housing Society, Muradpur, Chattogram",Apartment,3,4,"1,850 sqft",25 Thousand
Nice 1150 SQ FT apartment is available to Rent in Bayazid,"Polytechnic, Bayazid, Chattogram",Apartment,3,3,"1,150 sqft",13.5 Thousand
Experience The Ultimate Luxury Lifestyle Here In This Banani Dohs Home Is Up To Rent,"Banani DOHS, Dhaka",Apartment,4,4,"3,500 sqft",2 Lakh
A 1150 Sq. Ft Apartment Is Up For Rent Close To Baitul Aman Housing Society Jame Mosque.,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,3,"1,150 sqft",25 Thousand
"Smartly Priced 2150 Sq Ft Flat, That You Should Check In Bashundhara R-a","Block D, Bashundhara R-A, Dhaka",Apartment,3,4,"2,150 sqft",40 Thousand
Properly Designed This 1710 Sq Ft Home Is Now Up For Rent In Uttara,"Sector 9, Uttara, Dhaka",Apartment,3,3,"1,710 sqft",35 Thousand
Let Us Show You This 1250 Sq Ft Apartment Ready To Rent At 4 No Chandgaon Ward,"A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,250 sqft",20 Thousand
Feel The Refreshing Vibes In This 650 Square Feet Apartment For Rent In Mirpur-11,"Block A, Section 11, Mirpur, Dhaka",Apartment,2,2,650 sqft,11 Thousand
"This Home Including 2 Bedroom Is Now Available For Rent In Mollapara Road, Agargaon","Taltola, Agargaon, Dhaka",Apartment,2,2,800 sqft,15 Thousand
Immaculate Two Bedrooms Apartment In South Agrabad Is Up For Rent,"Chotopole, South Agrabad, Double Mooring, Chattogram",Apartment,2,2,950 sqft,11 Thousand
Worthy 1350 SQ FT Nice home is ready to Rent at 15 No. Bagmoniram Ward,"Amirbag Residential Area, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,350 sqft",30 Thousand
A 2 Bedroom And 750 Sq Ft Properly Developed Flat For Rent In Agargaon Next To Janata Housing Jame Masjid.,"Agargaon, Dhaka",Apartment,2,2,750 sqft,14 Thousand
Strongly Designed 1250 Sq Ft Apartment Is For Rent In Kallyanpur With Satisfactory Price.,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,250 sqft",15 Thousand
800 Sq Ft Flat Is Up For Rent At Chotopole,"Chotopole, South Agrabad, Double Mooring, Chattogram",Apartment,2,2,800 sqft,11 Thousand
900 Sq Ft Flat For Rent In Rajabazar Near Bou Bazaar,"Rajabazar, Tejgaon, Dhaka",Apartment,2,2,900 sqft,22 Thousand
A 1250 Sq. Ft. Flat Is Now Up For Rent Located Near To Adabor Thana In Adabor,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,3,"1,250 sqft",20 Thousand
For Renting 750 Square feet flat is available in Mohammadpur near to Mohammadpur Central University College,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2,2,750 sqft,14 Thousand
"Well Built And Properly Designed Residential Flat Of 1730 Sq Ft In 15 No. Bagmoniram Ward For Rent, Near Southern University Bangladesh","Mehidibag, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,4,"1,730 sqft",28 Thousand
Don’t Waste Your Valuable Time! You Can Take This 1250 Sq Ft Apartment For Rent In Kallyanpur,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,250 sqft",19 Thousand
"A Delightful 800 Sq Ft Apartment For Rent In Hazaribag, Bhagalpur","Bhagalpur, Hazaribag, Dhaka",Apartment,2,2,800 sqft,16 Thousand
Visit This 19360 Sq Ft Full Building Which Is Ready For Rent In Baridhara,"Block K, Baridhara, Dhaka",Building,21,10,"19,360 sqft",14.6 Lakh
1200 Sq Ft Comfortable Flat With 3 Bedrooms For Rent At Bayazid Nagar Residential Area,"Bayazid Nagar Residential Area, Bayazid, Chattogram",Apartment,3,3,"1,200 sqft",14 Thousand
"To Lead A Peaceful Life, Rent This 1700 Sq Ft Apartment In Naya Paltan.","Naya Paltan, Motijheel, Dhaka",Apartment,3,4,"1,700 sqft",60 Thousand
See This Comfortable 1500 Sq. Ft Flat Is Available For Rent In Uttara -10. And This Is Just What You Are Looking For In A Home!,"Sector 10, Uttara, Dhaka",Apartment,3,4,"1,500 sqft",20 Thousand
A well-featured rental 800 SQ FT residence is ready for you to own at 1 No. South Pahartali Ward,"Aman Bazar, 1 No. South Pahartali Ward, Hathazari, Chattogram",Apartment,2,2,800 sqft,10.5 Thousand
This 850 Sq Ft Flat Is Now Vacant To Rent In Kuril,"Kuril, Dhaka",Apartment,2,2,850 sqft,13 Thousand
Offering You 1300 Sq Ft Flat To Rent In Madarbari Near To Brac Bank Atm,Chattogram,Apartment,3,2,"1,300 sqft",25 Thousand
"Apartment For Rent In Mirpur, Block B Near City Bank","Block B, Section 12, Mirpur, Dhaka",Apartment,2,2,680 sqft,12 Thousand
"750 SQ FT apartment for rent in Ibrahimpur, near North Kafrul Central Jame Mosque","Ibrahimpur, Dhaka",Apartment,2,2,750 sqft,11 Thousand
"Check this 1480 SQ FT, apartment ready for rent at Uttara nearby Uttara Sector 11 Kacha Bazar","Sector 11, Uttara, Dhaka",Apartment,3,3,"1,480 sqft",30 Thousand
For Rent Covering An Area Of 900 Sq Ft Flat In Uttara Nearby Uttara West Police Station,"Sector 14, Uttara, Dhaka",Apartment,2,2,900 sqft,20 Thousand
"Well Developed And Nicely Planned 950 Sq Ft Flat Is Up For Rent In Uttara, Near Qed Academy.","Sector 14, Uttara, Dhaka",Apartment,3,2,950 sqft,20 Thousand
A 650 Square Feet Cozy Apartment For Rent In Mirpur-11,"Block F, Section 11, Mirpur, Dhaka",Apartment,2,2,650 sqft,10 Thousand
"Get Comfortable In A 750 Sq Ft Flat For Rent In Taltola, Near Holan Bazar","Taltola, Dakshin Khan, Dhaka",Apartment,2,1,750 sqft,10 Thousand
Let Us Help You To Rent This 900 Sq Ft Apartment Which Is Now Available In Uttara,"Sector 14, Uttara, Dhaka",Apartment,2,2,900 sqft,18 Thousand
800 Sq Ft Reasonably Priced Residential Flat Is Ready For Rent In Saraipara For Track Down.,"Saraipara, 12 No. Sarai Para Ward, Double Mooring, Chattogram",Apartment,2,2,800 sqft,11 Thousand
"This Comfy Flat Is Vacant Right Now For Rent In Adabor, Which Is 1270 Sq Ft","Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,3,"1,270 sqft",18 Thousand
"In The Suitable Location Of Bayazid, An Eye-catching Apartment Of 1400 Sq Ft Is Up For Rent","Block B, Hill View R/A, Bayazid, Chattogram",Apartment,3,3,"1,400 sqft",22 Thousand
New With A View – 750 Sq Ft Flat For Rent In Kuril,"Kuril, Dhaka",Apartment,2,2,750 sqft,16 Thousand
"This 2025 Sq Ft With 3 Bedrooms Home In Bashundhara R-A, Block C Is Up For rent.","Block C, Bashundhara R-A, Dhaka",Apartment,3,3,"2,025 sqft",42 Thousand
A Nice Flat Of 2150 Square Feet Is For Rent In Bashundhara,"Block D, Bashundhara R-A, Dhaka",Apartment,3,4,"2,150 sqft",42 Thousand
Beautiful And Well-constructed 2200 Sq Ft Flat Is Ready To Rent At Mirpur DOHS,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",Apartment,4,4,"2,200 sqft",40 Thousand
A 650 Sq. Ft Decent Agargaon Near Mollapara Jame Masjid Apartment Is Up For Rent,"Agargaon, Dhaka",Apartment,2,2,650 sqft,14 Thousand
"This 1300 Sq Ft Apartment Up For Rent In Chattogram, Near Radison Square Community Center Is Definitely That.","Cosmopolitan R/A, 7 No. West Sholoshohor Ward, Chattogram",Apartment,3,3,"1,300 sqft",22 Thousand
"Grab This Nice 1300 Sq Ft Rental House In Aftab Nagar, To Fulfill Your Demand","Sector 2, Block F, Aftab Nagar, Dhaka",Apartment,4,3,"1,300 sqft",20 Thousand
Pick Your Destination At 1300 Sq Ft Home Which Is Available For Rent In Aftab Nagar,"Sector 2, Block F, Aftab Nagar, Dhaka",Apartment,4,3,"1,300 sqft",20 Thousand
Experience Residing In This 1300 Sq Ft Home For Rent In Aftab Nagar,"Sector 2, Block F, Aftab Nagar, Dhaka",Apartment,4,3,"1,300 sqft",20 Thousand
Elite And Spacious Residential Apartment Is Ready For Rent In Uttara Sector 1,"Sector 1, Uttara, Dhaka",Apartment,3,4,"2,200 sqft",60 Thousand
"500 Sq Ft Lovely Flat For Rent In Mohammadpur, Pc Culture Housing","PC Culture Housing, Mohammadpur, Dhaka",Apartment,1,1,500 sqft,14.5 Thousand
Let Us Help You To Rent This 700 Sq Ft Apartment Which Is Now Available In Shapla Housing,"West Agargaon, Agargaon, Dhaka",Apartment,2,2,700 sqft,15 Thousand
"This 1450 Sq Ft Flat Is Set For Rent In Mohammadpur, Pc Culture Housing","PC Culture Housing, Mohammadpur, Dhaka",Apartment,3,3,"1,450 sqft",25 Thousand
"3 Bedroom, 3 Bathroom Apartment With A View Is Up For Rent Next To Shyamoly Cricket Academy","Shyamoli, Dhaka",Apartment,3,3,"1,500 sqft",30 Thousand
View Your Cozy Life In This Flat Of 750 Sq Ft For Rent In Mohammadpur,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",Apartment,2,2,750 sqft,13 Thousand
Visit This 1400 Sq. Ft Apartment Which Is Up To Rent At Nikunja 2,"Nikunja 2, Nikunja, Dhaka",Apartment,3,3,"1,400 sqft",35 Thousand
"Ready flat 900 SQ FT is now to Rent in Uttara, Sector 5","Sector 5, Uttara, Dhaka",Apartment,2,2,900 sqft,20 Thousand
"Lucrative Apartment Is Waiting To Be Rented In Sector 11, Uttara","Sector 11, Uttara, Dhaka",Apartment,2,2,900 sqft,20 Thousand
Apartment For Rent In Badda Nearby Jagannathpur Jame Mosjid,"Jagannathpur, Badda, Dhaka",Apartment,3,2,"1,200 sqft",20 Thousand
Apartment for Rent in Mirpur nearby Brac Bank,"Block A, Section 6, Mirpur, Dhaka",Apartment,2,2,650 sqft,11.5 Thousand
1500 Square Feet Apartment For Rent In Adabor » Baitul Aman Housing Society,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,3,"1,500 sqft",25 Thousand
Flat For Rent In Banasree Near Banasree Ideal School And College,"Block E, Banasree, Dhaka",Apartment,3,2,"1,100 sqft",15 Thousand
1200 Sq Ft Flat Is Up For Rent In Bashundhara R/a Near Bashundhora Model School And College,"Bashundhara Residential Area, 25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,3,3,"1,200 sqft",12 Thousand
"A 1100 Sq Ft, Apartment Is Ready To Rent At West Sholoshohor Ward Nearby Hamzarbag Primary School","Cosmopolitan R/A, 7 No. West Sholoshohor Ward, Chattogram",Apartment,3,3,"1,100 sqft",19 Thousand
900 Sq Ft Flat For Rent In Uttara Close To Insight International School,"Sector 12, Uttara, Dhaka",Apartment,2,2,900 sqft,20 Thousand
Find 850 Sq Ft Flat Available For Rent In Mirpur Near To Benaroshi Palli,"Block A, Section 10, Mirpur, Dhaka",Apartment,3,2,850 sqft,17 Thousand
Good News! This 900 Sq Ft Apartment For Rent In Mirpur 13 Which Can Be Your Next Destination,"Block A, Section 13, Mirpur, Dhaka",Apartment,3,2,900 sqft,15 Thousand
Use your time perfectly to take Take This 1450 Sq Ft Flat for Rent in Bashundhara R-A,"Block J, Bashundhara R-A, Dhaka",Apartment,3,3,"1,450 sqft",28 Thousand
"Covering 700 Sq Ft Space A Nice Flat Is Ready To Rent In Namapara, Khilkhet","Namapara, Khilkhet, Dhaka",Apartment,2,2,700 sqft,10.5 Thousand
A 3 Large Sized Bedrooms Apartment Is Waiting For Rent At Gulshan 2,"Gulshan 2, Gulshan, Dhaka",Apartment,3,3,"2,300 sqft",80 Thousand
"At Bashundhara R-a, 1500 Sq Ft Flat For Rent In A Very Reasonable Price","Block H, Bashundhara R-A, Dhaka",Apartment,3,3,"1,500 sqft",19 Thousand
Flat For Rent In Chawk Bazar Near Chittagong Medical College Hostel Mosque,"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,550 sqft",29 Thousand
Flat for rent in East Nasirabad near Nasirabad Government High School,"East Nasirabad, Chattogram",Apartment,3,2,"1,200 sqft",15 Thousand
2200 Sq Ft Spacious And Standard Apartment Is Up For Rent In 15 No. Bagmoniram Ward,"15 No. Bagmoniram Ward, Chattogram",Apartment,3,4,"2,200 sqft",35 Thousand
Pick Your Destination At 1350 Sq Ft Home Which Is Available For Rent In Uttara,"Sector 3, Uttara, Dhaka",Apartment,3,3,"1,350 sqft",28 Thousand
"Take This 1300 Sq Ft Apartment For Rent In Aftab Nagar, Block F","Sector 2, Block F, Aftab Nagar, Dhaka",Apartment,4,3,"1,300 sqft",20 Thousand
Discover Your Place In A 1300 Sq Ft Structurally Well Built Home For Rent In Aftab Nagar,"Sector 2, Block F, Aftab Nagar, Dhaka",Apartment,4,3,"1,300 sqft",20 Thousand
"Vacant For Rent In Baitul Aman Housing Society, A 1100 Sq. Ft. Well Defined Flat","Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,3,"1,100 sqft",20 Thousand
Properly Designed This 1100 Sq Ft Flat Is Now Up For Rent In Aftab Nagar,"Block C, Aftab Nagar, Dhaka",Apartment,3,2,"1,100 sqft",22 Thousand
Comfy Flat Covering An Area Of 1200 Sq Ft Is Up For Rent In Indira Road,"Indira Road, Tejgaon, Dhaka",Apartment,3,2,"1,200 sqft",27 Thousand
Flat For Rent At Tejgaon Neighboring Tejkunipara,"Tejgaon, Dhaka",Apartment,2,2,800 sqft,24 Thousand
Experience Residing In This 1800 Sq Ft Home For Rent In Rahmatganj,"Rahmatganj, Jamal Khan, Chattogram",Apartment,3,4,"1,800 sqft",43 Thousand
Property For Rent In Baridhara – 1500 Sq Ft Apartment,"Block J, Baridhara, Dhaka",Apartment,3,3,"1,500 sqft",35 Thousand
"Make This 1200 Sq Feet Nice Flat Yours, By Renting It In Agargaon","Agargaon, Dhaka",Apartment,3,3,"1,200 sqft",20 Thousand
Wow! This 1350 Sq Ft Apartment For Rent In Bashundhara R-A Which Can Be Your Next Destination,"Block K, Bashundhara R-A, Dhaka",Apartment,3,3,"1,350 sqft",20 Thousand
"2 Bedroom And 2 Bathroom Residence For Rent At Sagorika Road 1st Lane, Sagorika","Sagorika, Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,2,2,700 sqft,11 Thousand
A 1300 Sq Ft Flat For Rent With Convenient Bedrooms That Is Available In Shekhertek,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",Apartment,3,3,"1,300 sqft",20 Thousand
Property In Adabor – 1550 Sq Ft Flat For Rent,"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,3,"1,550 sqft",20 Thousand
"Look At This 1300 Square Feet Apartment For Rent In Baitul Aman Housing Society, Adabor","Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,2,"1,300 sqft",25 Thousand
"In The Location Of New Market, An Apartment Is For Rent Near Gausia Market","New Market, Dhaka",Apartment,3,3,"1,300 sqft",32 Thousand
"1000 Square Feet Apartment For Rent In Adabor, Baitul Aman Housing Society","Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,2,"1,000 sqft",18 Thousand
Reside conveniently in this well-constructed 1450 SQ FT flat for rent in Bashundhara R-A,"Block K, Bashundhara R-A, Dhaka",Apartment,3,3,"1,450 sqft",27 Thousand
A Spacious And Cozy Flat Of 3500 Sq Ft Is Now To Rent In Gulshan 2,"Gulshan 2, Gulshan, Dhaka",Apartment,4,4,"3,500 sqft",1.8 Lakh
Grab This 1150 Sq Ft Flat Ready To Rent At Mirpur,"Pirerbag, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",15 Thousand
"A 620 Sq. ft Flat Is Up For Rent At West Raza Bazar Road , This Is What You’ve Been Searching For As Your New Home!","Rajabazar, Tejgaon, Dhaka",Apartment,2,1,620 sqft,16 Thousand
1450 SQ FT home is now Unoccupied to rent in Bashundhara R-A,"Block K, Bashundhara R-A, Dhaka",Apartment,3,3,"1,450 sqft",26 Thousand
2850 SFT Apartment For Rent In A Prime Location Of Gulshan 2.,"Gulshan 2, Gulshan, Dhaka",Apartment,4,5,"2,850 sqft",90 Thousand
"Nice Flat Can Be Found In Nasirabad For Rent, Near Forest Academy Jame Masjid","Block B, Rahman Nagar, Nasirabad, Bayazid, Chattogram",Apartment,3,3,"1,250 sqft",17.5 Thousand
Grab This Flat Up For Rent In Choumuhuni Near Salma Rahman Jame Masjid,"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,3,"1,265 sqft",23 Thousand
"In 4 No Chandgaon Ward, A 1140 Sq Ft Apartment For Rent Is Available, Near Brac Bank Limited | Atm Booth","A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,140 sqft",21 Thousand
View This 750 Square Feet Flat To Rent In Pc Culture Housing,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2,2,750 sqft,14 Thousand
We Have A 1200 Sq. Ft Flat For You In Senpara Parbata Nearby Shat Tara Masjid,"Senpara Parbata, Section 10, Mirpur, Dhaka",Apartment,3,3,"1,200 sqft",18 Thousand
Flat For Rent In Double Mooring Near Chittagong Port Cargo Station,"Chotopole, South Agrabad, Double Mooring, Chattogram",Apartment,2,1,900 sqft,12 Thousand
Great News! This 720 Sq Ft Home For Rent In Mohammadpur Which Can Be Your Next Destination,"Block F, aziz Moholla, Mohammadpur, Dhaka",Apartment,2,2,720 sqft,15 Thousand
Reside conveniently in this well-constructed 1375 SQ FT flat for rent in Purana Paltan,"Bijoy Nagar, Purana Paltan, Motijheel, Dhaka",Apartment,3,3,"1,375 sqft",35 Thousand
1250 Sq Ft Nice Flat For Rent In Uttara-5,"Sector 5, Uttara, Dhaka",Apartment,3,2,"1,250 sqft",22 Thousand
Grow Your Home In This 750 Sq Ft Apartment At Nikunja 2 Mingled With Your Interest In This Bustling City.,"Nikunja 2, Nikunja, Dhaka",Apartment,2,2,750 sqft,17 Thousand
"Be Used To The Peaceful Atmosphere Of This 700 Sq Ft Flat, Ready To Rent In Badda","Uttar Badda, Badda, Dhaka",Apartment,2,2,700 sqft,17 Thousand
"750 Sq Ft Cozy Flat For Rent In West Agargaon, With Impressive Features And Price.","West Agargaon, Agargaon, Dhaka",Apartment,2,2,750 sqft,14 Thousand
Properly designed this 950 SQ Ft home is now up for rent in Uttar Badda,"Uttar Badda, Badda, Dhaka",Apartment,3,2,950 sqft,18 Thousand
"This 800 Sq Ft Flat To Rent In Jamal Khan, Nabab Siraj Ud Daula Road","Jamal Khan, Chattogram",Apartment,2,2,800 sqft,21 Thousand
850 Sq Ft Nicely Planned Apartment Is Available For Rent In Uttara -12,"Sector 12, Uttara, Dhaka",Apartment,2,2,850 sqft,20 Thousand
Check This Flat In 9 No. North Pahartali Ward For Rent Which Is Ready To Move In,"Lake Valley R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,450 sqft",19 Thousand
A convenient 850 SQ FT residential home is prepared to be rented at Mohammadpur,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2,2,850 sqft,15 Thousand
900 Sq Ft Nice Flat Is Up For Rent In Uttara,"Sector 12, Uttara, Dhaka",Apartment,2,2,900 sqft,20 Thousand
Sophisticated Style! This Flat For Rent In Rajuk Uttara Apartment Project Is All About It .,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Apartment,3,3,"1,654 sqft",14 Thousand
Residence For Rent In Pc Culture Housing Nearby Mohammadpur Thana,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2,2,700 sqft,12 Thousand
"1400 Sq Ft Home Is Up For Rent In Road No 17, Uttara 12","Sector 12, Uttara, Dhaka",Apartment,3,3,"1,400 sqft",26 Thousand
Desirable Apartment Of 1500 Sq Ft Is Ready To Be Rented In Nikunja 2 Nearby Residential Laboratory College,"Nikunja 2, Nikunja, Dhaka",Apartment,3,3,"1,500 sqft",30 Thousand
1150 Square Feet Apartment Is For Rent.,"Modhubag, Boro Maghbazar, Maghbazar, Dhaka",Apartment,3,2,"1,150 sqft",20 Thousand
1455 Sq Ft Flat For Rent In Motijheel,"RK Mission Road, Gopibag, Motijheel, Dhaka",Apartment,3,3,"1,455 sqft",26 Thousand
